"year","month","name","type","rating"
2016, 2, Python for Data Analysis, book, 4
2016, 1, Effective DevOps, book, 4
2016, 1, A Mind for Numbers, book, 5
2016, 2, The Player of Games, fiction, 3
2016, 1, Crux (Nexus 2), fiction, 4
2016, 1, The Fall of Hyperion, fiction, 5
2016, 2, Deep Learning, course, 4
2016, 2, Machine Learning Foundations University of Washington, course, 5
2016, 1, Machine Learning Stanford University, course, 5
2016, 2, True Detective Season 2 Soundtrack, music, 4
2016, 2, Wird schon irgendwie gehen - AnnenMayKantereit, music, 4
2016, 1, Adore Life - Savages, music, 4
2016, 2, Silicon Valley, tv, 5
2016, 2, White Collar, tv, 4
2016, 1, Jessica Jones, tv, 5